title,cast,script,directing,date_published,likes,dislikes,views_num
doula,evelyn castro,,,2020-02-20,94479.0,4135.0,1050820
doula,estevam nabote,,,2020-02-20,94479.0,4135.0,1050820
doula,poliana paiva,,,2020-02-20,94479.0,4135.0,1050820
doula,karina ramil,,,2020-02-20,94479.0,4135.0,1050820
doula,totoro,,,2020-02-20,94479.0,4135.0,1050820
pulando a cerca,rafael portugal,,,2020-02-17,169919.0,1939.0,2790559
pulando a cerca,joão vicente de castro,,,2020-02-17,169919.0,1939.0,2790559
pulando a cerca,pedro benevides,,,2020-02-17,169919.0,1939.0,2790559
água na boca,rafael portugal,,,2020-02-15,139560.0,2395.0,2194188
água na boca,gregorio duvivier,,,2020-02-15,139560.0,2395.0,2194188
lulonaro,estevam nabote,,,2020-02-13,192998.0,5525.0,2343192
lulonaro,fábio de luca,,,2020-02-13,192998.0,5525.0,2343192
lulonaro,pedro benevides,,,2020-02-13,192998.0,5525.0,2343192
lulonaro,noemia oliveira,,,2020-02-13,192998.0,5525.0,2343192
alice,antonio tabet,,,2020-02-10,119379.0,2566.0,1289483
alice,pedro benevides,,,2020-02-10,119379.0,2566.0,1289483
alice,thati lopes,,,2020-02-10,119379.0,2566.0,1289483
call,evelyn castro,,,2020-02-08,86802.0,3750.0,1137871
call,bianca frossard,,,2020-02-08,86802.0,3750.0,1137871
call,rafael portugal,,,2020-02-08,86802.0,3750.0,1137871
call,noemia oliveira,,,2020-02-08,86802.0,3750.0,1137871
call,tânia queiroz,,,2020-02-08,86802.0,3750.0,1137871
governo rh,antonio tabet,,,2020-02-06,163462.0,8641.0,1975135
governo rh,gregória duvivier,,,2020-02-06,163462.0,8641.0,1975135
governo rh,estevam nabote,,,2020-02-06,163462.0,8641.0,1975135
ladrón,fabio porchat,,,2020-02-03,200100.0,3774.0,3010362
ladrón,giovanna romo,,,2020-02-03,200100.0,3774.0,3010362
ladrón,alfonso borbolla,,,2020-02-03,200100.0,3774.0,3010362
ladrón,daniel tovar,,,2020-02-03,200100.0,3774.0,3010362
marya,joão vicente de castro,,,2020-02-01,137155.0,1814.0,1914670
marya,evelyn castro,,,2020-02-01,137155.0,1814.0,1914670
o homem que tem carro,antonio tabet,,,2020-01-30,159021.0,3050.0,2357418
o homem que tem carro,evelyn castro,,,2020-01-30,159021.0,3050.0,2357418
o homem que tem carro,rafael portugal,,,2020-01-30,159021.0,3050.0,2357418
missão madrinha,thati lopes,,,2020-01-27,111800.0,1821.0,1376919
missão madrinha,noemia oliveira,,,2020-01-27,111800.0,1821.0,1376919
brasileirada,estevam nabote,,,2020-01-25,134001.0,4232.0,1646383
brasileirada,gregório duvivier,,,2020-01-25,134001.0,4232.0,1646383
brasileirada,karina ramil,,,2020-01-25,134001.0,4232.0,1646383
brasileirada,pedro benevides,,,2020-01-25,134001.0,4232.0,1646383
bbb,joel vieira,,,2020-01-23,167906.0,5343.0,2550747
bbb,antonio tabet,,,2020-01-23,167906.0,5343.0,2550747
bbb,pedro benevides,,,2020-01-23,167906.0,5343.0,2550747
aventurando,rafael portugal,,,2020-01-20,152881.0,2920.0,2747975
aventurando,karina ramil,,,2020-01-20,152881.0,2920.0,2747975
aventurando,pedro benevides,,,2020-01-20,152881.0,2920.0,2747975
rh whatsapp,luis lobianco,,,2020-01-18,109445.0,2596.0,1825835
rh whatsapp,karina ramil,,,2020-01-18,109445.0,2596.0,1825835
dívidas,joão vicente de castro,,,2020-01-16,118889.0,3490.0,1744862
dívidas,karina ramil,,,2020-01-16,118889.0,3490.0,1744862
dívidas,pedro benevides,,,2020-01-16,118889.0,3490.0,1744862
dívidas,noemia oliveira,,,2020-01-16,118889.0,3490.0,1744862
dívidas,thati lopes,,,2020-01-16,118889.0,3490.0,1744862
jumanji,fabio de luca,,,2020-01-13,90555.0,10907.0,1314342
jumanji,estevam nabote,,,2020-01-13,90555.0,10907.0,1314342
jumanji,pedro benevides,,,2020-01-13,90555.0,10907.0,1314342
jumanji,thati lopes,,,2020-01-13,90555.0,10907.0,1314342
hablas español,karina ramil,,,2020-01-11,145915.0,3333.0,1825806
hablas español,evelyn castro,,,2020-01-11,145915.0,3333.0,1825806
hablas español,gustavo miranda,,,2020-01-11,145915.0,3333.0,1825806
papinho,thati lopes,,,2020-01-09,190365.0,2288.0,2508348
papinho,karina ramil,,,2020-01-09,190365.0,2288.0,2508348
papinho,rafael portugal,,,2020-01-09,190365.0,2288.0,2508348
papinho,antonio tabet,,,2020-01-09,190365.0,2288.0,2508348
procurador de emprego,thati lopes,,,2020-01-06,137527.0,3249.0,1719826
procurador de emprego,estevam nabote,,,2020-01-06,137527.0,3249.0,1719826
procurador de emprego,pedro benevides,,,2020-01-06,137527.0,3249.0,1719826
fala que eu te trato,gregório duvivier,,,2020-01-04,140232.0,8015.0,1478749
ansiedade,rafael portugal,,,2020-01-02,119319.0,4459.0,1454114
ansiedade,evelyn castro,,,2020-01-02,119319.0,4459.0,1454114
cavalo,estevam nabote,,,2019-12-30,204982.0,6997.0,4508045
cavalo,evelyn castro,,,2019-12-30,204982.0,6997.0,4508045
área vip,gregório duvivier,,,2019-12-30,119441.0,4013.0,1379026
área vip,pedro benevides,,,2019-12-30,119441.0,4013.0,1379026
modernidade,antonio tabet,,,2019-12-29,104964.0,3759.0,1300244
modernidade,paula jubé,,,2019-12-29,104964.0,3759.0,1300244
app de pegação,noemia oliveira,,,2019-12-28,101368.0,4182.0,1300892
app de pegação,thati lopes,,,2019-12-28,101368.0,4182.0,1300892
tá louquinha,gregório duvivier,,,2019-12-27,145568.0,4904.0,2071371
tá louquinha,pedro benevides,,,2019-12-27,145568.0,4904.0,2071371
tá louquinha,evelyn castro,,,2019-12-27,145568.0,4904.0,2071371
bic,pedro benevides,,,2019-12-26,174152.0,4100.0,2146461
bic,antonio tabet,,,2019-12-26,174152.0,4100.0,2146461
bic,luciana paes,,,2019-12-26,174152.0,4100.0,2146461
bic,rafael portugal,,,2019-12-26,174152.0,4100.0,2146461
meu corpo minhas regras,noemia oliveira,,,2019-12-25,194442.0,16097.0,1557860
meu corpo minhas regras,fabio porchat,,,2019-12-25,194442.0,16097.0,1557860
meu corpo minhas regras,thati lopes,,,2019-12-25,194442.0,16097.0,1557860
meu corpo minhas regras,evelyn castro,,,2019-12-25,194442.0,16097.0,1557860
amigo secreto de jesus,gregório duvivier,,,2019-12-24,144883.0,29515.0,1633215
amigo secreto de jesus,estevam nabote,,,2019-12-24,144883.0,29515.0,1633215
amigo secreto de jesus,fabio de luca,,,2019-12-24,144883.0,29515.0,1633215
amigo secreto de jesus,joão vicente de castro,,,2019-12-24,144883.0,29515.0,1633215
amigo secreto de jesus,evelyn castro,,,2019-12-24,144883.0,29515.0,1633215
humor de vanguarda,fabio pirchat,,,2019-12-23,107626.0,7766.0,1483718
humor de vanguarda,gregório duvivier,,,2019-12-23,107626.0,7766.0,1483718
humor de vanguarda,karina ramil,,,2019-12-23,107626.0,7766.0,1483718
homem,karina ramil,,,2019-12-22,129785.0,4376.0,1348017
homem,thati lopes,,,2019-12-22,129785.0,4376.0,1348017
desconstruído,gregório duvivier,,,2019-12-21,146794.0,5899.0,1681665
desconstruído,karina ramil,,,2019-12-21,146794.0,5899.0,1681665
inritado,gregório duvivier,,,2019-12-20,278074.0,58726.0,2428139
inritado,fabio de luca,,,2019-12-20,278074.0,58726.0,2428139
conflito nos astros,antonio tabet,,,2019-12-19,98355.0,2756.0,982007
conflito nos astros,thati lopes,,,2019-12-19,98355.0,2756.0,982007
conflito nos astros,bruno jablonski,,,2019-12-19,98355.0,2756.0,982007
conflito nos astros,estevam nabote,,,2019-12-19,98355.0,2756.0,982007
conflito nos astros,andré fustagno,,,2019-12-19,98355.0,2756.0,982007
avó,thati lopes,,,2019-12-18,112096.0,4025.0,1431413
avó,stella freitas,,,2019-12-18,112096.0,4025.0,1431413
selfie por interesse,gregório duvivier,,,2019-12-17,134267.0,4264.0,1879191
selfie por interesse,rafael portugal,,,2019-12-17,134267.0,4264.0,1879191
selfie por interesse,thati lopes,,,2019-12-17,134267.0,4264.0,1879191
irmã,rafael portugal,,,2019-12-16,208619.0,5645.0,2533132
irmã,joão vicente de castro,,,2019-12-16,208619.0,5645.0,2533132
mágico de oz,antonio tabet,,,2019-12-15,120806.0,8841.0,1351671
mágico de oz,pedro benevides,,,2019-12-15,120806.0,8841.0,1351671
mágico de oz,thati lopes,,,2019-12-15,120806.0,8841.0,1351671
mágico de oz,fabio porchat,,,2019-12-15,120806.0,8841.0,1351671
mágico de oz,gregório duvivier,,,2019-12-15,120806.0,8841.0,1351671
casal 30,estevam nabote,,,2019-12-14,99868.0,3809.0,1070124
casal 30,noemia oliveira,,,2019-12-14,99868.0,3809.0,1070124
casal 30,thati lopes,,,2019-12-14,99868.0,3809.0,1070124
me tira daqui,gregorio duvivier,,,2019-12-13,95005.0,6990.0,1079519
me tira daqui,pedro benevides,,,2019-12-13,95005.0,6990.0,1079519
me tira daqui,noemia oliveira,,,2019-12-13,95005.0,6990.0,1079519
faça o que eu falo,rafael portugal,,,2019-12-12,126617.0,4697.0,1295241
faça o que eu falo,camillo borges,,,2019-12-12,126617.0,4697.0,1295241
décimo dentista,pedro benevides,,,2019-12-11,175624.0,4778.0,2440367
décimo dentista,fábio de luca,,,2019-12-11,175624.0,4778.0,2440367
décimo dentista,gabriel totoro,,,2019-12-11,175624.0,4778.0,2440367
décimo dentista,andré fustagno,,,2019-12-11,175624.0,4778.0,2440367
ligação,fabio porchat,,,2019-12-10,140242.0,5845.0,1774200
ligação,thati lopes,,,2019-12-10,140242.0,5845.0,1774200
ligação,pedro benevides,,,2019-12-10,140242.0,5845.0,1774200
aula de gastronomia,thati lopes,,,2019-12-09,119450.0,3630.0,1608442
aula de gastronomia,pedro benevides,,,2019-12-09,119450.0,3630.0,1608442
aula de gastronomia,noemia oliveira,,,2019-12-09,119450.0,3630.0,1608442
siamês universitário,evelyn castro,,,2019-12-08,151182.0,4668.0,2123191
siamês universitário,fabio porchat,,,2019-12-08,151182.0,4668.0,2123191
siamês universitário,rafael portugal,,,2019-12-08,151182.0,4668.0,2123191
siamês universitário,gregorio duvivier,,,2019-12-08,151182.0,4668.0,2123191
meninx,thati lopes,,,2019-12-07,193564.0,5545.0,1994467
meninx,pedro benevides,,,2019-12-07,193564.0,5545.0,1994467
meninx,karina ramil,,,2019-12-07,193564.0,5545.0,1994467
foco,karina ramil,,,2019-12-06,101572.0,5140.0,1281911
foco,rafael portugal,,,2019-12-06,101572.0,5140.0,1281911
foco,joão vicente de castro,,,2019-12-06,101572.0,5140.0,1281911
foco,gabriel totoro,,,2019-12-06,101572.0,5140.0,1281911
foco,gui machado,,,2019-12-06,101572.0,5140.0,1281911
motorista,thati lopes,,,2019-12-05,145718.0,2700.0,2141855
motorista,estevam nabote,,,2019-12-05,145718.0,2700.0,2141855
motorista,evelyn castro,,,2019-12-05,145718.0,2700.0,2141855
coisas de casal,letícia lima,,,2019-12-04,213637.0,3249.0,2914184
coisas de casal,fabio porchat,,,2019-12-04,213637.0,3249.0,2914184
deus é sagitário,antonio tabet,,,2019-12-03,128441.0,6608.0,1433261
deus é sagitário,evelyn castro,,,2019-12-03,128441.0,6608.0,1433261
deus é sagitário,joão vicente de castro,,,2019-12-03,128441.0,6608.0,1433261
bolsa moradia,noemia oliveira,,,2019-12-02,108365.0,3070.0,996359
bolsa moradia,thati lopes,,,2019-12-02,108365.0,3070.0,996359
chefe secreto,gregório duvivier,,,2019-12-01,105136.0,4037.0,1227728
chefe secreto,rafael portugal,,,2019-12-01,105136.0,4037.0,1227728
chefe secreto,pedro benevides,,,2019-12-01,105136.0,4037.0,1227728
meditagram,gregório duvivier,,,2019-11-30,124573.0,3494.0,1339484
transformers,joão vicente de castro,,,2019-11-28,142021.0,2289.0,1583662
transformers,fabio porchat,,,2019-11-28,142021.0,2289.0,1583662
transformers,pedro benevides,,,2019-11-28,142021.0,2289.0,1583662
fim de ano do porta,gabriel totoro,,,2019-11-27,92865.0,8580.0,913384
fim de ano do porta,gregório duvivier,,,2019-11-27,92865.0,8580.0,913384
fim de ano do porta,fabio porchat,,,2019-11-27,92865.0,8580.0,913384
fim de ano do porta,rafael portugal,,,2019-11-27,92865.0,8580.0,913384
fim de ano do porta,thati lopes,,,2019-11-27,92865.0,8580.0,913384
fim de ano do porta,antonio tabet,,,2019-11-27,92865.0,8580.0,913384
fim de ano do porta,joão vicente de castro,,,2019-11-27,92865.0,8580.0,913384
unboxing,rafael portugal,,,2019-11-25,94837.0,2808.0,1161890
unboxing,thati lopes,,,2019-11-25,94837.0,2808.0,1161890
unboxing,noemia oliveira,,,2019-11-25,94837.0,2808.0,1161890
quem ama curte,rafael portugal,,,2019-11-23,166503.0,2619.0,2329800
quem ama curte,thati lopes,,,2019-11-23,166503.0,2619.0,2329800
dinero,fábio porchat,,,2019-11-21,146883.0,4818.0,2080156
dinero,joão vicente de castro,,,2019-11-21,146883.0,4818.0,2080156
dinero,daniel garcia,,,2019-11-21,146883.0,4818.0,2080156
dinero,pedro benevides,,,2019-11-21,146883.0,4818.0,2080156
trailer - a primeira tentação de cristo (especial de natal - netflix),,,,2019-11-19,31199.0,26418.0,777967
não tô entendendo,gregorio duvivier,,,2019-11-18,105787.0,5018.0,1003229
não tô entendendo,karina ramil,,,2019-11-18,105787.0,5018.0,1003229
não tô entendendo,thati lopes,,,2019-11-18,105787.0,5018.0,1003229
não tô entendendo,fabio porchat,,,2019-11-18,105787.0,5018.0,1003229
curtir sem curtir,pedro benevides,,,2019-11-16,133442.0,2728.0,2038053
curtir sem curtir,antonio tabet,,,2019-11-16,133442.0,2728.0,2038053
curtir sem curtir,estevam nabote,,,2019-11-16,133442.0,2728.0,2038053
curtir sem curtir,fábio de luca,,,2019-11-16,133442.0,2728.0,2038053
notícia triste,joel vieira,,,2019-11-14,141613.0,6488.0,1696079
notícia triste,thati lopes,,,2019-11-14,141613.0,6488.0,1696079
médico supersticioso,gregório duvivier,,,2019-11-11,115918.0,3962.0,1431915
médico supersticioso,pedro benevides,,,2019-11-11,115918.0,3962.0,1431915
curtida,letícia lima,,,2019-11-09,179345.0,2394.0,2425524
curtida,fabio porchat,,,2019-11-09,179345.0,2394.0,2425524
tá bravo?,rafael portugal,,,2019-11-07,248342.0,6658.0,3124369
tá bravo?,evelyn castro,,,2019-11-07,248342.0,6658.0,3124369
tá bravo?,karina ramil,,,2019-11-07,248342.0,6658.0,3124369
tá bravo?,pedro benevides,,,2019-11-07,248342.0,6658.0,3124369
filho bonito,antonio tabet,,,2019-11-04,289737.0,7151.0,4329304
filho bonito,luciana paes,,,2019-11-04,289737.0,7151.0,4329304
filho bonito,vitor figueiredo,,,2019-11-04,289737.0,7151.0,4329304
dia mais feliz da vida,noemia oliveira,,,2019-11-02,130245.0,3222.0,1507809
dia mais feliz da vida,gregório duvivier,,,2019-11-02,130245.0,3222.0,1507809
espírito,evelyn castro,,,2019-10-31,93727.0,2662.0,1101158
espírito,pedro benevides,,,2019-10-31,93727.0,2662.0,1101158
espírito,karina ramil,,,2019-10-31,93727.0,2662.0,1101158
espírito,nisia rocha,,,2019-10-31,93727.0,2662.0,1101158
pedro,fabio porchat,,,2019-10-28,325273.0,4814.0,5029979
pedro,thati lopes,,,2019-10-28,325273.0,4814.0,5029979
homem sem barba,camillo borges,,,2019-10-26,293917.0,5254.0,5361885
homem sem barba,rafael portugal,,,2019-10-26,293917.0,5254.0,5361885
homem sem barba,dudu rios,,,2019-10-26,293917.0,5254.0,5361885
homem sem barba,noemia oliveira,,,2019-10-26,293917.0,5254.0,5361885
homem sem barba,pedro benevides,,,2019-10-26,293917.0,5254.0,5361885
nome de rua,gregório duvivier,,,2019-10-24,124965.0,2468.0,1541402
nome de rua,joão vicente de castro,,,2019-10-24,124965.0,2468.0,1541402
nome de rua,antonio tabet,,,2019-10-24,124965.0,2468.0,1541402
miliciano,antonio tabet,,,2019-10-21,236722.0,5391.0,4193234
miliciano,estevam nabote,,,2019-10-21,236722.0,5391.0,4193234
miliciano,pedro benevides,,,2019-10-21,236722.0,5391.0,4193234
te conheço de algum lugar,evelyn castro,,,2019-10-19,154554.0,2644.0,2515167
te conheço de algum lugar,thati lopes,,,2019-10-19,154554.0,2644.0,2515167
te conheço de algum lugar,rafael portugal,,,2019-10-19,154554.0,2644.0,2515167
emprestando,rafael portugal,,,2019-10-17,239219.0,10602.0,4705573
emprestando,fábio porchat,,,2019-10-17,239219.0,10602.0,4705573
escritor branco,yuri marçal,,,2019-10-14,238282.0,8826.0,2378439
escritor branco,gregório duvivier,,,2019-10-14,238282.0,8826.0,2378439
escritor branco,fábio porchat,,,2019-10-14,238282.0,8826.0,2378439
uber feet,rafael portugal,,,2019-10-12,164891.0,2230.0,2620420
uber feet,pedro benevides,,,2019-10-12,164891.0,2230.0,2620420
uber feet,totoro,,,2019-10-12,164891.0,2230.0,2620420
uber feet,karina ramil,,,2019-10-12,164891.0,2230.0,2620420
fiador,estevam nabote,,,2019-10-10,173531.0,2861.0,3031460
fiador,evelyn castro,,,2019-10-10,173531.0,2861.0,3031460
fiador,joão vicente de castro,,,2019-10-10,173531.0,2861.0,3031460
lindo,fabio porchat,,,2019-10-07,174397.0,4798.0,2640855
lindo,karina ramil,,,2019-10-07,174397.0,4798.0,2640855
lindo,claudio andrade,,,2019-10-07,174397.0,4798.0,2640855
whindersson,antonio tabet,,,2019-10-05,720507.0,13421.0,7086035
whindersson,thati lopes,,,2019-10-05,720507.0,13421.0,7086035
whindersson,rafael portugal,,,2019-10-05,720507.0,13421.0,7086035
whindersson,whindersson nunes,,,2019-10-05,720507.0,13421.0,7086035
sobrinho,noemia oliveira,,,2019-10-03,143120.0,3057.0,2045540
sobrinho,gregório duvivier,,,2019-10-03,143120.0,3057.0,2045540
sobrinho,karina ramil,,,2019-10-03,143120.0,3057.0,2045540
sobrinho,pedro benevides,,,2019-10-03,143120.0,3057.0,2045540
sobrinho,artur rodrigues,,,2019-10-03,143120.0,3057.0,2045540
missão secreta,thati lopes,,,2019-09-30,127694.0,3305.0,1960457
missão secreta,fábio porchat,,,2019-09-30,127694.0,3305.0,1960457
volta pra casa,antonio tabet,,,2019-09-28,153651.0,2479.0,2834701
volta pra casa,estevam nabote,,,2019-09-28,153651.0,2479.0,2834701
acompanhando,thati lopes,,,2019-09-26,109680.0,2519.0,1638005
acompanhando,noemia oliveira,,,2019-09-26,109680.0,2519.0,1638005
acompanhando,karina ramil,,,2019-09-26,109680.0,2519.0,1638005
acompanhando,rafael portugal,,,2019-09-26,109680.0,2519.0,1638005
não dá mais,fábio porchat,,,2019-09-23,236669.0,4039.0,3315392
não dá mais,gregório duvivier,,,2019-09-23,236669.0,4039.0,3315392
não dá mais,narcisa tamborindeguy,,,2019-09-23,236669.0,4039.0,3315392
missão impossível,rafael portugal,,,2019-09-21,108112.0,7306.0,1658494
missão impossível,totoro,,,2019-09-21,108112.0,7306.0,1658494
missão impossível,noemia oliveira,,,2019-09-21,108112.0,7306.0,1658494
missão impossível,antonio tabet,,,2019-09-21,108112.0,7306.0,1658494
contabilidade criativa,evelyn castro,,,2019-09-19,125048.0,1971.0,1745253
contabilidade criativa,fábio de luca,,,2019-09-19,125048.0,1971.0,1745253
contabilidade criativa,pedro benevides,,,2019-09-19,125048.0,1971.0,1745253
outra mulher,letícia lima,,,2019-09-16,417318.0,6457.0,7406864
outra mulher,fábio porchat,,,2019-09-16,417318.0,6457.0,7406864
outra mulher,dani suzuki,,,2019-09-16,417318.0,6457.0,7406864
sem compromisso,joão vicente de castro,,,2019-09-14,276370.0,6144.0,6636958
sem compromisso,noemia oliveira,,,2019-09-14,276370.0,6144.0,6636958
sem compromisso,estevam nabote,,,2019-09-14,276370.0,6144.0,6636958
mamata,antonio tabet,,,2019-09-12,201605.0,7680.0,2677341
mamata,rafael portugal,,,2019-09-12,201605.0,7680.0,2677341
mamata,stepan nercessian,,,2019-09-12,201605.0,7680.0,2677341
mamata,joão vicente de castro,,,2019-09-12,201605.0,7680.0,2677341
mamata,gregório duvivier,,,2019-09-12,201605.0,7680.0,2677341
espirro,rafael portugal,,,2019-09-09,139504.0,5532.0,2181225
espirro,thati lopes,,,2019-09-09,139504.0,5532.0,2181225
espirro,anja bittencourt,,,2019-09-09,139504.0,5532.0,2181225
espirro,bené,,,2019-09-09,139504.0,5532.0,2181225
a culpa nao é minha,rafael portugal,,,2019-09-07,137545.0,4665.0,1897093
a culpa nao é minha,estevam nabote,,,2019-09-07,137545.0,4665.0,1897093
a culpa nao é minha,bené,,,2019-09-07,137545.0,4665.0,1897093
baby shark,karina ramil,,,2019-09-05,235230.0,3698.0,3271007
baby shark,antonio tabet,,,2019-09-05,235230.0,3698.0,3271007
baby shark,rafael portugal,,,2019-09-05,235230.0,3698.0,3271007
baby shark,evelyn castro,,,2019-09-05,235230.0,3698.0,3271007
baby shark,estevam nabote,,,2019-09-05,235230.0,3698.0,3271007
baby shark,totoro,,,2019-09-05,235230.0,3698.0,3271007
baby shark,bené,,,2019-09-05,235230.0,3698.0,3271007
mau-caráter,gregório duvivier,,,2019-09-02,169250.0,5979.0,2145165
mau-caráter,karina ramil,,,2019-09-02,169250.0,5979.0,2145165
reprisando,fábio de luca,,,2019-08-31,114493.0,1813.0,1805725
reprisando,pedro benevides,,,2019-08-31,114493.0,1813.0,1805725
reprisando,gustavo chagas,,,2019-08-31,114493.0,1813.0,1805725
tiozão,rafael portugal,,,2019-08-29,187465.0,2934.0,2382758
tiozão,karina ramil,,,2019-08-29,187465.0,2934.0,2382758
tiozão,evelyn castro,,,2019-08-29,187465.0,2934.0,2382758
tiozão,pedro benevides,,,2019-08-29,187465.0,2934.0,2382758
tiozão,antonio tabet,,,2019-08-29,187465.0,2934.0,2382758
desprotesto,evelyn castro,,,2019-08-26,163172.0,8841.0,1569462
desprotesto,joão vicente de castro,,,2019-08-26,163172.0,8841.0,1569462
desprotesto,thati lopes,,,2019-08-26,163172.0,8841.0,1569462
desprotesto,estevam nabote,,,2019-08-26,163172.0,8841.0,1569462
desprotesto,totoro,,,2019-08-26,163172.0,8841.0,1569462
desprotesto,pedro benevides,,,2019-08-26,163172.0,8841.0,1569462
oz,fabio porchat,,,2019-08-24,147895.0,3651.0,1753637
oz,gregorio duvivier,,,2019-08-24,147895.0,3651.0,1753637
oz,thati lopes,,,2019-08-24,147895.0,3651.0,1753637
oz,pedro benevides,,,2019-08-24,147895.0,3651.0,1753637
oz,rafael portugal,,,2019-08-24,147895.0,3651.0,1753637
porchat original,fabio porchat,,,2019-08-22,185480.0,3352.0,2664727
porchat original,rafael portugal,,,2019-08-22,185480.0,3352.0,2664727
porchat original,pedro benevides,,,2019-08-22,185480.0,3352.0,2664727
"karaokê - a guiana sumiu... (""foda-se"")",,,,2019-08-21,21234.0,611.0,261893
mma,jefferson schroeder,,,2019-08-19,69024.0,17079.0,824941
mma,pedro benevides,,,2019-08-19,69024.0,17079.0,824941
mma,raphael logam,,,2019-08-19,69024.0,17079.0,824941
a guiana sumiu...,fábio porchat,,,2019-08-17,311560.0,17241.0,5391162
a guiana sumiu...,antonio tabet,,,2019-08-17,311560.0,17241.0,5391162
a guiana sumiu...,estevam nabote,,,2019-08-17,311560.0,17241.0,5391162
a guiana sumiu...,paula jubé,,,2019-08-17,311560.0,17241.0,5391162
a guiana sumiu...,pedro benevides,,,2019-08-17,311560.0,17241.0,5391162
a guiana sumiu...,karina ramil,,,2019-08-17,311560.0,17241.0,5391162
a guiana sumiu...,noemia oliveira,,,2019-08-17,311560.0,17241.0,5391162
a guiana sumiu...,carlos takeshi,,,2019-08-17,311560.0,17241.0,5391162
a guiana sumiu...,gabriel esteves,,,2019-08-17,311560.0,17241.0,5391162
casal,fabio porchat,gabriel esteves,,2019-08-15,229970.0,4510.0,4064402
casal,fabio porchat,pedro esteves,,2019-08-15,229970.0,4510.0,4064402
casal,thati lopes,gabriel esteves,,2019-08-15,229970.0,4510.0,4064402
casal,thati lopes,pedro esteves,,2019-08-15,229970.0,4510.0,4064402
casal,evelyn castro,gabriel esteves,,2019-08-15,229970.0,4510.0,4064402
casal,evelyn castro,pedro esteves,,2019-08-15,229970.0,4510.0,4064402
site de compra e venda,rafael portugal,,,2019-08-12,168900.0,2758.0,2974518
site de compra e venda,luciana paes,,,2019-08-12,168900.0,2758.0,2974518
site de compra e venda,pedro benevides,,,2019-08-12,168900.0,2758.0,2974518
filho é maravilhoso,rafael portugal,,,2019-08-10,247217.0,4600.0,4549561
filho é maravilhoso,pedro benevides,,,2019-08-10,247217.0,4600.0,4549561
filho é maravilhoso,camillo borges,,,2019-08-10,247217.0,4600.0,4549561
filho é maravilhoso,estevam borges,,,2019-08-10,247217.0,4600.0,4549561
filho é maravilhoso,carol zanqui,,,2019-08-10,247217.0,4600.0,4549561
coskles,gregório duvivier,,,2019-08-08,88006.0,8348.0,1143051
coskles,evelyn castro,,,2019-08-08,88006.0,8348.0,1143051
coskles,paula jubé,,,2019-08-08,88006.0,8348.0,1143051
trailer - a guiana sumiu,,,,2019-08-07,23736.0,357.0,301917
maquiei um cadáver e olha no que deu,thati lopes,,,2019-08-05,169522.0,7104.0,1600793
maquiei um cadáver e olha no que deu,anja bittencourt,,,2019-08-05,169522.0,7104.0,1600793
histórico,fábio porchat,,,2019-08-03,301253.0,3889.0,4334110
histórico,noemia oliveira,,,2019-08-03,301253.0,3889.0,4334110
dr. laserman,camillo borges,,,2019-08-01,143651.0,2018.0,2015769
dr. laserman,thati lopes,,,2019-08-01,143651.0,2018.0,2015769
dr. laserman,rafael portugal,,,2019-08-01,143651.0,2018.0,2015769
dr. laserman,estevam nabote,,,2019-08-01,143651.0,2018.0,2015769
dr. laserman,pedro benevides,,,2019-08-01,143651.0,2018.0,2015769
reencarnação,antonio tabet,,,2019-07-29,328926.0,7636.0,5961584
reencarnação,rafael portugal,,,2019-07-29,328926.0,7636.0,5961584
novos termos,estevam nabote,,,2019-07-27,138752.0,5824.0,1774740
novos termos,karina ramil,,,2019-07-27,138752.0,5824.0,1774740
americano,rafael portugal,,,2019-07-25,202184.0,4724.0,3227927
americano,gregório duvivier,,,2019-07-25,202184.0,4724.0,3227927
americano,karina ramil,,,2019-07-25,202184.0,4724.0,3227927
viada,thati lopes,,,2019-07-22,279663.0,7051.0,4076334
viada,fábio de luca,,,2019-07-22,279663.0,7051.0,4076334
viada,victor meyniel,,,2019-07-22,279663.0,7051.0,4076334
viada,dudu rios,,,2019-07-22,279663.0,7051.0,4076334
em nome do pai,rafael portugal,,,2019-07-20,156907.0,6862.0,2199408
em nome do pai,camillo borges,,,2019-07-20,156907.0,6862.0,2199408
em nome do pai,gabriel totoro,,,2019-07-20,156907.0,6862.0,2199408
em nome do pai,evelyn castro,,,2019-07-20,156907.0,6862.0,2199408
"ai, que abdução",gregório duvivier,,,2019-07-18,104072.0,6390.0,1302016
"ai, que abdução",fábio porchat,,,2019-07-18,104072.0,6390.0,1302016
"ai, que abdução",narcisa tamborindeguy,,,2019-07-18,104072.0,6390.0,1302016
"ai, que abdução",pedro benevides,,,2019-07-18,104072.0,6390.0,1302016
"ai, que abdução",rafael portugal,,,2019-07-18,104072.0,6390.0,1302016
carta branca,rafael portugal,,,2019-07-15,337911.0,7287.0,10192182
carta branca,thati lopes,,,2019-07-15,337911.0,7287.0,10192182
carta branca,pedro benevides,,,2019-07-15,337911.0,7287.0,10192182
ju,fabio porchat,,,2019-07-13,268459.0,5146.0,4359727
ju,rafael portugal,,,2019-07-13,268459.0,5146.0,4359727
ju,pedro benevides,,,2019-07-13,268459.0,5146.0,4359727
vida loka,camillo borges,,,2019-07-11,138390.0,7619.0,2000168
vida loka,pedro benevides,,,2019-07-11,138390.0,7619.0,2000168
